d_lat,seed,step,true_sig,true_null,emp_sig,emp_null,ref_sig,ref_null,total_true
20,44,1000000,3.2224059104919434,1.8714330196380615,5.935547351837158,2.2853879928588867,9.2048921585083,4.018226146697998,2.209176445007324
20,44,2000000,3.4357597827911377,1.9294202327728271,5.680931091308594,2.195751428604126,9.2048921585083,4.018226146697998,2.306005096435547
20,44,3000000,3.3998706340789795,1.9248387813568115,5.65452241897583,2.172743797302246,9.2048921585083,4.018226146697998,2.2935968399047852
20,44,5000000,3.4632153511047363,1.9541594982147217,5.487279415130615,2.1183485984802246,9.2048921585083,4.018226146697998,2.3314235687255858
20,45,50000,0.16860270500183105,0.17429456114768982,8.46420955657959,3.463348388671875,8.879040718078613,3.9388248920440674,0.17287161350250244
20,45,250000,1.5039397478103638,1.3858139514923096,6.766787528991699,2.514052391052246,8.879040718078613,3.9388248920440674,1.4153454780578614
20,45,500000,2.538562774658203,1.7757341861724854,6.200446128845215,2.3377015590667725,8.879040718078613,3.9388248920440674,1.9664413452148437
20,45,1000000,3.061354160308838,1.881677508354187,5.807692527770996,2.2224090099334717,8.879040718078613,3.9388248920440674,2.1765966415405273
20,45,2000000,3.367685317993164,1.9731284379959106,5.5575714111328125,2.1462483406066895,8.879040718078613,3.9388248920440674,2.3217676162719725
20,45,3000000,3.2125277519226074,1.8677624464035034,5.447124481201172,2.104620933532715,8.879040718078613,3.9388248920440674,2.203953742980957
20,45,5000000,3.1972200870513916,1.948562741279602,5.350766181945801,2.0664165019989014,8.879040718078613,3.9388248920440674,2.2607269287109375
20,46,50000,0.17890119552612305,0.18444982171058655,8.535097122192383,3.483485698699951,9.069052696228027,3.946578025817871,0.1830626606941223
20,46,250000,1.74533212184906,1.4018361568450928,6.753407955169678,2.5176451206207275,9.069052696228027,3.946578025817871,1.4877099990844727
20,46,500000,2.742490291595459,1.7596473693847656,6.184316158294678,2.3388187885284424,9.069052696228027,3.946578025817871,2.0053583145141602
20,46,1000000,3.2814948558807373,1.8794052600860596,5.855125904083252,2.2108154296875,9.069052696228027,3.946578025817871,2.229927825927734
20,46,2000000,3.5059924125671387,1.977373719215393,5.640239715576172,2.1409382820129395,9.069052696228027,3.946578025817871,2.3595285415649414
20,46,3000000,3.4754364490509033,1.97868013381958,5.538941383361816,2.101806640625,9.069052696228027,3.946578025817871,2.3528690338134766
20,46,5000000,3.488553285598755,2.0028443336486816,5.425341606140137,2.059037923812866,9.069052696228027,3.946578025817871,2.3742713928222656
40,42,50000,0.19812294840812683,0.08336618542671204,13.0999116897583,4.852433204650879,12.987695693969727,5.0030999183654785,0.097710782289505
40,42,250000,0.7663324475288391,0.8446321487426758,11.325922966003418,3.8456761837005615,12.987695693969727,5.0030999183654785,0.8348445892333984
40,42,500000,2.123905897140503,1.4837990999221802,10.316614151000977,3.5737698078155518,12.987695693969727,5.0030999183654785,1.5638124465942382
40,42,1000000,3.074450969696045,1.7524490356445312,9.893369674682617,3.416480779647827,12.987695693969727,5.0030999183654785,1.9176992416381835
40,42,2000000,3.787216901779175,1.9056583642959595,9.520646095275879,3.3116376399993896,12.987695693969727,5.0030999183654785,2.1408533096313476
40,42,3000000,4.17208194732666,1.991180419921875,9.425025939941406,3.270707130432129,12.987695693969727,5.0030999183654785,2.263793182373047
40,42,5000000,4.063235282897949,1.9771392345428467,9.338003158569336,3.233227491378784,12.987695693969727,5.0030999183654785,2.237901306152344
40,43,50000,0.19956937432289124,0.08150125294923782,13.556988716125488,4.905012607574463,13.461944580078125,5.0502777099609375,0.09625976085662842
40,43,250000,0.6686474680900574,0.8566585779190063,11.911104202270508,3.883283853530884,13.461944580078125,5.0502777099609375,0.8331571578979492
40,43,500000,1.9058758020401,1.4946401119232178,10.82756519317627,3.609636068344116,13.461944580078125,5.0502777099609375,1.5460445404052734
40,43,1000000,3.25468373298645,1.8146644830703735,10.324007987976074,3.4530656337738037,13.461944580078125,5.0502777099609375,1.994666862487793
40,43,2000000,3.9606704711914062,1.925559401512146,10.125587463378906,3.3539068698883057,13.461944580078125,5.0502777099609375,2.1799482345581054
40,43,3000000,4.470339298248291,1.9803919792175293,10.012537002563477,3.3078997135162354,13.461944580078125,5.0502777099609375,2.291635513305664
40,43,5000000,4.592203617095947,2.028892993927002,9.892200469970703,3.2529306411743164,13.461944580078125,5.0502777099609375,2.3493066787719727
40,44,50000,0.2226686030626297,0.07701591402292252,13.640690803527832,4.911250591278076,13.423324584960938,5.050371170043945,0.09522249698638915
